Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,CASES per Test,Death in Closed Cases,Rank by Testing rate,Rank by Death rate,Rank by Cases rate,Rank by Death of Closed Cases 
Costa Rica,31075.00,666.00,333.00,12.00,9939.00,20803.00,128.00,6093.00,65.00,126337.00,24769.00,5100508.00,0.03,121.00,69.00,41.00,94.00
Serbia,30209.00,161.00,689.00,5.00,27908.00,1612.00,52.00,3459.00,79.00,842441.00,96474.00,8732325.00,0.02,54.00,60.00,73.00,127.00
Nepal,29645.00,707.00,126.00,6.00,17964.00,11555.00,,1015.00,4.00,878622.00,30083.00,29206558.00,0.01,116.00,162.00,118.00,179.00
Ireland,27676.00,129.00,1776.00,1.00,23364.00,2536.00,6.00,5596.00,359.00,735598.00,148747.00,4945309.00,0.07,34.00,18.00,46.00,36.00
Austria,24431.00,347.00,729.00,,21093.00,2609.00,21.00,2710.00,81.00,1061437.00,117760.00,9013539.00,0.03,44.00,59.00,84.00,92.00
Australia,24236.00,243.00,463.00,13.00,17854.00,5919.00,51.00,949.00,18.00,5507605.00,215645.00,25540177.00,0.03,22.00,114.00,123.00,117.00
El Salvador,23964.00,247.00,640.00,7.00,11558.00,11766.00,391.00,3692.00,99.00,288307.00,44418.00,6490763.00,0.05,96.00,55.00,66.00,57.00
Czechia,21045.00,247.00,406.00,2.00,15886.00,4753.00,24.00,1965.00,38.00,820151.00,76565.00,10711777.00,0.02,64.00,88.00,91.00,120.00
Cameroon,18762.00,138.00,408.00,2.00,16540.00,1814.00,30.00,705.00,15.00,149000.00,5595.00,26631541.00,0.02,170.00,125.00,133.00,128.00
Palestine,17989.00,383.00,120.00,1.00,10682.00,7187.00,,3516.00,23.00,214862.00,41991.00,5116888.00,0.01,98.00,107.00,71.00,167.00
Ivory Coast,17249.00,17.00,112.00,1.00,14611.00,2526.00,,652.00,4.00,117115.00,4426.00,26463011.00,0.01,175.00,162.00,138.00,175.00
Bosnia and Herzegovina,17029.00,338.00,515.00,8.00,10881.00,5633.00,,5195.00,157.00,168861.00,51515.00,3277873.00,0.05,87.00,37.00,51.00,68.00
S. Korea,16346.00,288.00,307.00,1.00,14063.00,1976.00,12.00,319.00,6.00,1734083.00,33819.00,51275415.00,0.02,111.00,148.00,162.00,137.00
Denmark,16056.00,116.00,621.00,,13769.00,1666.00,1.00,2771.00,107.00,2075156.00,358091.00,5795057.00,0.04,14.00,50.00,81.00,77.00
Bulgaria,14962.00,142.00,532.00,5.00,10087.00,4343.00,63.00,2156.00,77.00,358723.00,51683.00,6940865.00,0.05,86.00,61.00,89.00,59.00
Madagascar,14154.00,80.00,177.00,4.00,13038.00,939.00,83.00,509.00,6.00,53954.00,1942.00,27783027.00,0.01,183.00,148.00,150.00,161.00
North Macedonia,13194.00,118.00,554.00,3.00,9752.00,2888.00,4.00,6333.00,266.00,132493.00,63596.00,2083362.00,0.05,75.00,24.00,40.00,56.00
Sudan,12582.00,36.00,812.00,4.00,6456.00,5314.00,,286.00,18.00,401.00,9.00,43982802.00,0.11,194.00,114.00,166.00,19.00
Senegal,12559.00,113.00,261.00,3.00,8050.00,4248.00,39.00,748.00,16.00,134349.00,7997.00,16800813.00,0.03,159.00,122.00,132.00,98.00
Paraguay,11817.00,684.00,170.00,5.00,6783.00,4864.00,63.00,1654.00,24.00,166110.00,23250.00,7144441.00,0.02,125.00,104.00,97.00,126.00
Lebanon,10952.00,605.00,113.00,4.00,3040.00,7799.00,72.00,1606.00,17.00,443709.00,65050.00,6821056.00,0.04,70.00,118.00,100.00,86.00
Zambia,10372.00,154.00,274.00,5.00,9126.00,972.00,,562.00,15.00,103023.00,5584.00,18449899.00,0.03,171.00,125.00,143.00,108.00
Norway,10197.00,35.00,264.00,2.00,9150.00,783.00,1.00,1879.00,49.00,588550.00,108447.00,5427090.00,0.03,49.00,82.00,93.00,112.00
DRC,9757.00,16.00,247.00,1.00,8895.00,615.00,,109.00,3.00,,,89906805.00,0.03,,169.00,190.00,114.00
Libya,9707.00,244.00,173.00,4.00,1047.00,8487.00,,1410.00,25.00,88492.00,12855.00,6883928.00,0.14,144.00,103.00,105.00,14.00
Malaysia,9240.00,5.00,125.00,,8932.00,183.00,7.00,285.00,4.00,1152140.00,35535.00,32422234.00,0.01,105.00,162.00,167.00,160.00
Guinea,8876.00,84.00,53.00,,7628.00,1195.00,24.00,674.00,4.00,16975.00,1288.00,13178580.00,0.01,190.00,162.00,137.00,180.00
French Guiana,8743.00,32.00,54.00,,8189.00,500.00,17.00,29174.00,180.00,48382.00,161444.00,299682.00,0.01,31.00,33.00,2.00,181.00
Gabon,8319.00,,53.00,,6614.00,1652.00,1.00,3726.00,24.00,104420.00,46771.00,2232578.00,0.01,90.00,104.00,64.00,173.00
Tajikistan,8203.00,37.00,66.00,1.00,7006.00,1131.00,,858.00,7.00,,,9565683.00,0.01,,146.00,129.00,170.00
Haiti,7997.00,48.00,196.00,,5447.00,2354.00,,700.00,17.00,21400.00,1874.00,11421419.00,0.03,184.00,118.00,135.00,88.00
Albania,7967.00,155.00,238.00,4.00,3986.00,3743.00,15.00,2769.00,83.00,49172.00,17089.00,2877351.00,0.06,133.00,58.00,82.00,50.00
Greece,7934.00,250.00,235.00,,3804.00,3895.00,30.00,762.00,23.00,816450.00,78386.00,10415735.00,0.06,62.00,107.00,130.00,47.00
Finland,7842.00,37.00,334.00,,7100.00,408.00,,1415.00,60.00,517936.00,93458.00,5541933.00,0.04,55.00,72.00,104.00,69.00
Luxembourg,7637.00,71.00,124.00,,6903.00,610.00,3.00,12174.00,198.00,706629.00,1126386.00,627342.00,0.02,4.00,32.00,16.00,148.00
Croatia,7329.00,255.00,168.00,,5472.00,1689.00,13.00,1787.00,41.00,144521.00,35235.00,4101613.00,0.03,107.00,86.00,94.00,103.00
Mauritania,6848.00,19.00,158.00,,6123.00,567.00,3.00,1468.00,34.00,68872.00,14762.00,4665419.00,0.03,138.00,93.00,103.00,118.00
Maldives,6370.00,145.00,24.00,,3915.00,2431.00,12.00,11757.00,44.00,100233.00,184996.00,541813.00,0.01,25.00,84.00,17.00,185.00
